Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
Turku deliberates citizens' panel on transportation planning,Deliberative poll,Citizens' panel,Ad hoc,,,Turku deliberates citizens' panel on transportation planning,Discover an informed public opinion on the transport system in Turku city center.,,,,https://www.abo.fi/turkukeskustelee/,2020,Finland,Yes,Local Government,"Turku, Finland",Åbo Akademi University,https://www.abo.fi/en/samforsk/,Academics,Transportation,,21,171,Three stage random selection,"Invitation letter with a survey sent to 12000 randomly selected citizens. Then a second survey sent to people that expressed a will in participate. Finally, selection of 171 citizens. The surveys consisted of a large set of questions related to transport, environmental and other political values, trust, efficacy,and background variables.",Post,Mayor,3.00%,,,Remunerated,"Academics,Public Officials","Before the panel discussions, participants watched a video presentation made by the public officials.",,,"Citizens' panel website, social media",Yes,21,1,0,checked,Introductory reading material before 1st meeting,,,Exit survey to evaluate opinion changes on transportation system in Turku and support for three traffic scenarios.,,,Public response to recommendations,,,,checked,"Academic analysis,Participant exit survey",https://www.turku.fi/sites/default/files/atoms/files/tutkimusraportteja_4-2020.pdf,,,,,Turku municipality budget,Online,Zoom,60.4517531,22.2670522,A technical moderator helped with possible problems with the online system. Classical moderators were trained during two sessions ahead of citizens' meeting. The online discussions went well technically.,https://www.turku.fi/sites/default/files/atoms/files/tutkimusraportteja_4-2020.pdf,
Oregon Citizens' Assembly on Covid recovery,Citizens' Assembly,Citizens' Assembly,Ad hoc,,,Oregon Citizen Assembly Pilot on COVID-19 Recovery,Develop recommendations for a fair and equitable path forward beyond the coronavirus pandemic.,"Yes, an Expert advisory group",Academics,Oversight,https://healthydemocracy.org/ca/2020-oregon-covid/,2020,USA,Yes,Regional/State,"Oregon, USA",Healthy Democracy,https://healthydemocracy.org/,Non-Governmental Organization,Strategic planning,,1,36,Two-stage random selection (e.g. civic lottery),"Two different selection methods: postcard sent to over 700 everyday Oregonians, and the other half selected by phone, with calls to randomly selected Oregon voters. Stratified process using Sortition Foundation's method, both by phone and mail","Post,Phone",Parliament,,4,,Remunerated,"Academics,Public Officials",Panelists heard from subject matter experts from the State economist (Oregon Office of Economic Analysis) and from the Oregon Department of Education,,,State media and parliament communication,No,,7,5,,"Learning sessions,Experts available at meetings for presentations and/or questions",Surveys (online/offline),"Organized by OregonKitchenTable. A total of 595 Oregonians responded to the OKT survey between July 31 to August 5, 2020","4 recommendations on housing and education, provided to state legislators",,,,,,,checked,Academic analysis,,,,,,Oregon's state budget,Online,Zoom,45.55831845,-122.9218207,Panelists without internet access or a laptop have been accommodated by being shipped loaner laptops and provided with one-on-one technical support.,https://healthydemocracy.org/wp-content/uploads/OR-CA-Final-Principles-Recommendations.pdf,
Budapest citizens' assembly,Citizens' Jury,Citizens' assembly,Ad hoc,,,Citizens’ assembly in Budapest – a way forward?,How should Budapest tackle the climate emergency?,"Yes, a lead expert group","Academics,NGO's","Providing expert knowledge,Ensuring balanced information",https://demnet.hu/en/citizens-assembly-in-budapest-2020/,2020,Hungary,Yes,Local Government,"Budapest, Hungary",DemNet Foundation,https://demnet.hu/,Non-Governmental Organisation,Environment,,1,50,Two-stage random selection (e.g. civic lottery),"Ten thousand randomly selected citizens received an invitation. Invitees were able to indicate their intention to participate on an online interface. Out of 333 respondents to the invitation, the DemNet Foundation randomly selected 50 people to reflect the population of Budapest over 18 years of age (age, sex, education and place of residence).",Post,Mayor,3.33%,3,More than 14 weeks,Remunerated,"Public independant institution,Academics,Private Companies,Civil Society Organisations",Present to the citizens their area of expertise on climate.,checked,https://kozossegigyules.demnet.hu/,"Local and national media, social media",No,,4,2,checked,"Experts available at meetings for presentations and/or questions,Learning sessions",,,The citizens' assembly developed 8 proposals on how should the city of Budapest respond to climate change situation: what goals should the city set for tackling climate change and how to implement it.,,checked,"Public response to recommendations,Implementation of most recommendations (over 50%)",,checked,qualitative analysis,checked,"Participant feedback session,Process reflection by the organisers",https://demnet.hu/wp-content/uploads/2020/11/kozossegi-gyules-budapest-2020-demnet-report.pdf,"Out of 50 selected citizen, 39 attended the citizens' assembly. Covid-19 pandemic probably reduced the response rate.",Stereotypes could be overthrown with respect with each others,,,"Budapest municipality budget, Donor contribution",Face-to-face,,47.4979937,19.0403594,Different Covid scenarios were elaborated to keep the process ongoing. Strict sanitary measures were then respected to allow the assembly to happen face-to-face.,https://demnet.hu/kiadvanyaink/kozossegi-gyules-budapest-jelentes/,
Danish citizen assembly on climate change,Citizens' Assembly,Citizens' assembly,Ad hoc,,,Citizen assembly on climate,The purpose of Denmark's Citizens' assembly in the Climate Area is to involve a representative section of the Danish population in the planning of Danish climate policy.,"Yes, an Expert advisory group",Academics,"Oversight,Ensuring balanced information",https://kefm.dk/klima-og-vejr/borgertinget-#,2020,Denmark,Yes,National/Federal,Denmark,Danish board of Technology,https://tekno.dk/?lang=en,Non-Governmental Organisation,Environment,,1,99,Two-stage random selection (e.g. civic lottery),"As a first step, extraction of a simple random sample of 5000 people from the national register of adult population, all of whom are given the opportunity to sign up for the citizens' assembly. The second step involves the selection of participants through a stratified sample of 99 people reflecting the Danish population on criteria such as age, gender, geography, education and income.",Post,Minister,9.14%,4,More than 14 weeks,Remunerated,"Public Officials,Academics,Public independant institution,Civil Society Organisations,Private Companies",,checked,Borgerting's online portal,"National media, public authorities communication",No,,12,16,,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions",,,"The citizen assembly resulted in 119 concrete recommendations for the green transition, which has been handed over to the Minister of Climate, Energy and Supply and the Climate, Energy and Supply Committee (KEF committee). The recommendations from the members of the Borgerting range are broad and cover everything from proposals for teaching about the climate crisis in primary and lower secondary schools to climate taxes, new eating habits and a green constitution.",,checked,,,checked,Members of the Citizens' Assembly,checked,"Academic analysis,Participant exit survey",https://kefm.dk/Media/637558108937920054/Evaluering.pdf,"Out of 99 participants, only 60 voted on recommendations the last day, mainly because of the sanitary situation.",,,,"Danish ministry of Climate, Energy and Supply",Online,,55.67169576,10.33477506,"The implementing organization followed OECD best practices. The members of the Citizens' Assembly will meet again in the autumn of 2021, where they will continue to work on detailing the recommendations for the green transition.",https://kefm.dk/Media/637552682717115773/Klimaborgertingets%20anbefalinger.pdf,
Waltham Forest Citizens Assembly,Citizens' Assembly,Citizens' assembly,Ad hoc,,,Waltham Forest Citizens Assembly,How Waltham Forest residents can work in their communities to stop hate and ensure everyone can feel equally welcome and safe?,"Yes, an Expert advisory group","Expert practitioners,Academics,NGO's","Ensuring balanced information,Oversight,Providing expert knowledge",https://www.walthamforest.gov.uk/content/waltham-forest-citizens-assembly,2020,UK,Yes,Local Government,"Waltham Forest, London, United Kingdom",Democratic Society / Involve,https://www.demsoc.org/,Non-Governmental Organisation,Various,,1,45,Two-stage random selection (e.g. civic lottery),"Invitation sent to 10000 households, out of which over 440 individual interest were expressed. The Sortition Foundation then randomly selected 45 individuals from this pool to be diverse and broadly representative of the Waltham Forest population in terms of gender, age, ethnicity, geography, housing tenure, sexual orientation and disability. Some changes were made to the target percentages for gender, housing tenure and ethnicity to ensure a broad and diverse group of assembly members.",Post,"Local Councillor(s),Other (please specify in participant selection methodology details)",4.40%,,,Remunerated,"Public Officials,Academics,Civil Society Organisations,Citizens",To make sure the evidence was balanced and represented Waltham Forest’s demographic accurately.,,,"Citizens' assembly website, social media channels and resident newsletter ‘Waltham Forest News’.",No,,5,3,,"Learning sessions,Experts available at meetings for presentations and/or questions","Surveys (online/offline),Community workshops","While it was only possible to have 45 members take part in the assembly, Waltham Forest Council asked residents to complete a survey about their experiences and views on hate, and also organized workshop with organisations who help victims of hate crime as part of their work.","Developed a set of six recommendations for the council, community organisations and wider stakeholders to consider.",,,"Implementation of a few recommendations (less than 50%),Public response to recommendations",,,,checked,Participant exit survey,https://www.walthamforest.gov.uk/sites/default/files/KD_WFCA_Recommendations_Report_FINAL_B.pdf,Drop-out was unusually high due to the impact of the developing Coronavirus pandemic - the assembly finished with 34 members on day five.,,,,Waltham borough's budget,Face-to-face,,51.5857306,-0.02003564,"Participants were able to access a prayer/quiet room anytime, and were provided with emotionnal/individual support.",https://www.walthamforest.gov.uk/sites/default/files/KD_WFCA_Recommendations_Report_FINAL_B.pdf,
Adur & Worthing Climate Assembly,Citizens' Assembly,Climate assembly,Ad hoc,,,Adur & Worthing Climate Assembly,“How can we in Adur and Worthing collectively tackle climate change and support our places to thrive?” “What does this mean for the way we live and for our local environment?”,"Yes, an Advisory group","Academics,Citizens,NGO's","Ensuring balanced information,Providing expert knowledge",https://www.adur-worthing.gov.uk/climate-assembly/,2020,UK,Yes,Local Government,"Adur & Worthing, United Kingdom",Democratic Society,https://www.demsoc.org/,Non-Governmental Organisation,Environment,,1,43,Two-stage random selection (e.g. civic lottery),"The recruitment process was carried out by the Sortition Foundation. Letters were sent out to 8,000 households in Adur and Worthing. The addresses were randomly selected from Royal Mail's address database. The Sortition Foundation then randomly selected a representative group of individuals from those who responded to the initial invitation. It was important for participants selected to be diverse and broadly representative of the area’s population in terms of gender, age, ethnicity, geography, occupation and attitude to climate change.",Post,Local Councillor(s),5.00%,,,Remunerated,"Private Companies,Civil Society Organisations,Citizens,Public Officials","Provided inspiration for what was possible in the future, and in the actual state of the city.",,,Municipality communication,No,,5,11,,Experts available at meetings for presentations and/or questions,Surveys (online/offline),"Adur & Worthing Councils created a climate survey to ensure as many residents as possible could input their views into the process.The survey received over 800 responses, with results presented to the assembly as part of the evidence it received. The survey, completed both online and on paper, gave detailed information about the vision of what Adur and Worthing would look like if we collectively prevented climate change and were all thriving.",18 recommendations delivered to the Adur & Worthing municipality council.,,,Specific response to participants about recommendations,,,,checked,Process reflection by the organisers,"https://www.adur-worthing.gov.uk/media/Media,159369,smxx.pdf",,,,,Adur & Worthing city council,Online,"Zoom, Miro, and other textual collaborative tools",,,"Through a partnership with the local provider, OneStop Junction,Adur & Worthing Councils were able to distribute restored computer equipment to all participants who required it.This was provided at no cost to the individual and they have been able to keep the equipment following the assembly. In total, seven assembly members received a computer and an additional four received small pieces of equipment such as webcams or headphones. One-to-one introduction sessions with each member to put them at ease, provide information and support around tech and digital tools and answer any questions. Support guides and a welcome pack were also posted to everyone.",https://www.adur-worthing.gov.uk/climate-assembly/,
West Midland Combined Authority on Covid-19 recovery,Citizens' Jury,Citizens' panel,Ad hoc,,,Citizens Panel on West Midland's Recovery Priorities,Help ensure that the priorities for regional recovery agreed by West Midlands Combined Authority (WMCA) political leaders are guided by the informed recommendations of its citizens.,Yes,"Government representatives,NGO's,Expert practitioners",Oversight,https://www.wmca.org.uk/news/mental-health-support-jobs-and-training-among-key-recovery-priorities-for-west-midlands-citizens-panel/,2020,UK,Yes,Regional/State,"West Midlands, UK",BritainThinks,https://britainthinks.com/,Private sector,Various,,1,36,Single stage random selection (e.g. polling company recruitment),Participants were recruited using professional market research recruiters using tailored screening materials to ensure achieving a balanced sample that reflects the diversity of the region. The original invitations were addressed from BritainThinks and sent out via recruiters.,"Email,Phone",Other (please specify in participant selection methodology details),,5,3-4 weeks,Remunerated,"Public Officials,Private Companies,Civil Society Organisations","They fed into the sample design to make sure it was representative of the region, reviewed all research instruments and assisted in the co-ordination of expert witnesses.",,,"Through email, phone and interactive online briefing sessions.",No,,8,5,,"Reading material between meetings,Participants can request information,Introductory reading material before 1st meeting",Surveys (online/offline),5-minute online survey of 500 residents across the West Midlands.,"6 priorities put forward, composed of numerous recommendations and a set of citizens' principles to guide future decision-making.",,checked,,,,,checked,Participant exit survey,https://www.wmca.org.uk/media/4053/final-report-wmrcg-citizens-panel-on-post-covid-recovery.pdf,"Generating deliberative debate via an online-only method, overcome by use interactive tools and ranking/prioritising exercises to facilitate debate amongst participants to build a consensus around issues.","Recommendations Are rooted in the values of real people whilst being cognisant of wider policy challenges, and focus on points of consensus rather than division",,,"Engage Britain, charity",Online,Microsoft Teams,52.59532875,-2.15383105,,https://www.wmca.org.uk/media/4053/final-report-wmrcg-citizens-panel-on-post-covid-recovery.pdf,
Citizen Science in Oeiras,Citizens' Jury,Citizens' forum,Ad hoc,,,Citizen Science in Oeiras,“How can we improve Oeiras through science?” ,"Yes, an Advisory board","Expert practitioners,Government representatives,Academics","Design and facilitation,Oversight",http://www.forumdoscidadaos.pt/o-que-fazemos/2020-oeiras/,2020,Portugal,Yes,Local Government,"Oeiras, Portugal",Forum dos Cidadaos,http://www.forumdoscidadaos.pt/,Civil society,Various,,1,30,Single stage random selection (e.g. polling company recruitment),The invitations were sent out to random addresses and then stratified.,,Other (please specify in participant selection methodology details),,,,Remunerated,"Academics,Public Officials",,,,,No,,2,0,,"Experts available at meetings for presentations and/or questions,Learning sessions,Introductory reading material before 1st meeting",Call for submissions/proposals,Online crowdsourcing process to gather suggestions that were later analyzed by the citizens' panel,"Previously, the entire municipality was invited to submit suggestions through a “contest of ideas” open to the public. 30 suggestions were received, which served as a basis for the work of the participants.",,checked,Public response to recommendations,,,,,,,,,,,Oeiras municipality budget,Face-to-face,,38.7259374,-9.2390649,,http://www.forumdoscidadaos.pt/o-que-fazemos/2020-oeiras/,
Stuttgart: renovation of the opera house,Citizens' Jury,Citizens' forum,Ad hoc,,,Stuttgart: renovation of the opera house,Consultation about the upcoming renovation of theStuttgart Opera House,,,,https://beteiligungsportal.baden-wuerttemberg.de/de/mitmachen/lp-16/sanierung-opernhaus-stuttgart/buergerforum/,2020,Germany,Yes,Regional/State,"Stuttgart, Baden-Württember, Germany ",Dialog Basis,https://www.dialogbasis.de/,Private sector,Culture,,5,57,Two-stage random selection (e.g. civic lottery),"Over 20,000 randomly drawn telephone numbers from Stuttgart, the surrounding area and all of Baden-Württemberg were in the run-up to the citizens' forum of UZ-Bonn, a specialized Company at the University of Bonn, telephoned. A total of 29 men and 28 women were randomly selected, identified who have agreed to participate digitally. Invitation by the state councilor of civil society and civic participation.",Phone,Other (please specify in participant selection methodology details),1.29%,8,,Non-remunerated,"Public Officials,Academics,Private Companies,Civil Society Organisations,Public independant institution","Views on the renovation opportunity, plan and financement",,,"Munipality website, local media, state website
",No,,5,56,,Experts available at meetings for presentations and/or questions,Public consultations (online/offline),Online submissions to allow participation from all citizens,"Citizens' review on the proposed project, with 4 different variants",,checked,Specific response to participants about recommendations,checked,checked,Office of the state councilor monitors,checked,Academic analysis,not yet published,,,,,Baden-Württemberg state,Online,Webex Meetings,,,,https://beteiligungsportal.baden-wuerttemberg.de/fileadmin/redaktion/beteiligungsportal/MWK/Staatstheater/Abschlussbericht_Buergerforum_Opernhaussanierung.pdf,
Wrocław citizens' assembly,Citizens' Assembly,Citizens' assembly,Ad hoc,,,Wrocław citizens' panel on transport,How to improve mobility around Wrocław with a view to improving the quality of life and protecting the climate?,"Yes, a Coordinating Team","Expert practitioners,Government representatives",Design and facilitation,https://www.wroclaw.pl/rozmawia/panel-obywatelski-komentarz-urzedu-miejskiego,2020,Poland,Yes,Local Government,"Wrocław, Poland",House of Peace Foundation,https://www.houseofpeace.ngo/,Non-Governmental Organisation,Transportation,,1,75,Two-stage random selection (e.g. civic lottery),"Complex stratified sampling method, see the report (last column) for the details","Post,Phone",Mayor,4.00%,4,More than 14 weeks,Remunerated,"Academics,Citizens,Civil Society Organisations,Private Companies",,,,"Municipality means of communication, local media",No,,5,5,,"Experts available at meetings for presentations and/or questions,Learning sessions",Surveys (online/offline),All townspeople could pass the panel with their ideas and suggestions for recommendations. These votes were collected via the form availableon the website from 3 to 11 September. The form was completed 182 times. The collected opinions werearranged according to the subject and presented to panelists for further work.,Total of 63 recommendations - 50 binding and 13 for consideration.,,checked,Implementation of most recommendations (over 50%),,checked,By Wrocław  municipality administration,checked,Participant exit survey,https://www.wroclaw.pl/rozmawia/files/dokumenty/35476/PIERWSZY-WROCLAWSKI-PANEL-OBYWATELSKI.-RAPORT.pdf,,,200000,PLN,Wrocław municipality budget,Face-to-face,,50.07894145,19.92571403,"According to the declaration of the President of the City of Wrocław, recommendations with the support of at least 80 percent of the panel will be treated by him as binding, i.e. they will be indicated for implementation.",https://www.wroclaw.pl/rozmawia/files/dokumenty/35476/PIERWSZY-WROCLAWSKI-PANEL-OBYWATELSKI.-RAPORT.pdf,
Warsaw Climate Panel,Citizens' Jury,Citizens' Panel,Ad hoc,,,,How to increase the energy efficiency of Warsaw and the share of renewable energy sources in the city's energy balance?,"Yes, two: a coordinating team and a monitoring team",,"Design and facilitation,Ensuring balanced information,Oversight",https://eko.um.warszawa.pl/-/warszawski-panel-klimatyczny,2020,Poland,Yes,Local Government,Warsaw,Civis Polonus Foundation / Field of Dialogue Foundation / Stocznia Foundation,http://civispolonus.org.pl/,Civil society organization,Environment,,,90,Two-stage random selection (e.g. civic lottery),"First, in cooperation with the City Hall we drew 18 000 households
from the population of Warsaw. Thus, for each place in the panel there were 200 invitations for each place in the panel. In the draw we relied on the data received from the City Hall (Centralna Baza
Spatial Data Base of the Capital City of Warsaw), and the criterion for drawing was the place of residence (district). Basing on CSO data on the number of inhabitants of particular city districts, we determined proportionally the number of people who should be included in the panel.
However, we increased the representation of the smallest districts in the panel so that they had at least 2 representatives. 
From the group of 337 who responded positively, 80 people were drawn to main group and 10 to reserve group
","Post,Phone,Internet",Mayor,1.87%,,,Remunerated,,,,,"Official city website, facebook, live broadcast of some sessions.",,,2,3,,,,,,,,,,,,,,,,,,,,Online,zoom,52.2319581,21.0067249,Mayor's assurance that recommendations which receive at least 80% support will be implemented (or submitted to the Council of the City of Warsaw),,
Glen Eira Community Vision Deliberative Citizens' Panel,Citizens' Jury,Citizens' Panel,Institutionalised,Local Government Act 2020  s  55  (2) (g)  ,https://www.legislation.vic.gov.au/in-force/acts/local-government-act-2020/008,Glen Eira Community Vision,To set a vision for the future of the local community for integration into the work of the local government authority,No,,,https://www.gleneira.vic.gov.au/get-involved/community-vision,2020,Australia,Yes,Local Government,"Glen Eira, Victoria",MosaicLab,www.mosaiclab.com.au,Private sector,Strategic planning,checked,1,42,Two-stage random selection (e.g. civic lottery),"In the week beginning 20
January 2020, an Expression of Interest invitation for the panel was
randomly distributed to 21,000 households across Glen Eira through
a letterbox drop where every third household received an invitation.
Everyone aged 18 years or over living in the Glen Eira municipality
was invited to register interest, except for:
• past and present elected representatives;
• people in paid political employment; and
• current Council staff.
The invitation provided the background to the project, the panel
dates, the remuneration for attendance and how to register. More
than 350 expressions of interest were registered.

For those that registered to be on the Panel, a range of demographic
data (eg. age, gender, suburb, education, employment, house tenure)
were applied to stratify the sample and other diversity characteristics
such as LGBTIQA+, people with a disability and culturally and
linguistically diverse people were also applied to support further
community representation. This resulted in the recruitment of a 42
member panel broadly representative of the demographic profile of
the Glen Eira community.",Post,Mayor,1.66%,,,Remunerated,Public Officials,Context as the sponsoring organisation,checked,Council website,Multiple communications by the sponsoring organisation,No,,4,,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",,,Vision adopted,,checked,Implementation of all recommendations,,,,,,,,,,,Glen Eira Council,Hybrid,Zoom,-37.89914,145.0410333,https://www.gleneira.vic.gov.au/media/8984/glen-eira-2040-community-vision.pdf,https://www.haveyoursaygleneira.com.au/community-vision-deliberative-panel?tool=survey_tool#tool_tab,
Citizens' Convention for Occitanie Region,Citizens' Assembly,Citizens' Convention,Ad hoc,,,Convention citoyenne pour l'Occitanie,What are the expectations and concrete measures recommended to improve the lives of the region's inhabitants in the face of current and future challenges?,"Yes, a Steering committee","Expert practitioners,Citizens",Ensuring balanced information,https://jeparticipe.laregioncitoyenne.fr/consultation/convention-citoyenne-occitanie,2020,France,Yes,Regional/State,"Occitanie region, France",Missions publiques,https://missionspubliques.org/,Private sector,Various,,1,103,Two-stage random selection (e.g. civic lottery),"50000 phone numbers randomly selected out of a regional base of 1.3m, then selection of 100 citizens based on socio-demographic-geographic variables.",Phone,Local Councillor(s),,,,Non-remunerated,"Public Officials,Public independant institution,Academics",Enrich citizens' reflection and discussions,,,"National, regional and local media, regional institutionnal communication",No,,7,3,checked,"Experts available at meetings for presentations and/or questions,Learning sessions",Public consultations (online/offline),"A plateform set up by the Occitanie region, in order to gather insights and approval/rejection by citizens on the convention's recommendations","52 urgent recommendations to be implemented quickly, 300 subsidiary recommendations",,checked,"Implementation of most recommendations (over 50%),Specific response to participants about recommendations",,checked,"A follow-up committee has been set up in January 2021. It welcomes 15 volunteer citizens who are members of the citizens' convention, 4 regional elected officials and the two co-chairs of the steering committee of the citizens' convention. Its opinions will be transmitted to the regional council.

",checked,Participant feedback session,,"The presentation of the convention's mandate, which was particularly broad, and at the same time the presentation of regional competencies, raised questions about the scope of the exercise, particularly during the first day.","Traceability and maximum transparency in the treatment of questions and proposals collected, at each table or in plenary. The questions asked must be answered. At each stage of the work, all contributions must be recorded, analyzed and shared with the members.",900000,EUR,Occitanie region budget,Face-to-face,,43.60051,3.8580511,,https://jeparticipe.laregioncitoyenne.fr/consultation/convention-citoyenne-occitanie/presentation/la-demarche,
Citizens' Convention on Climate (Convention citoyenne pour le climat),Citizens' Assembly,Citizen's convention,Ad hoc,,,Citizens convention for climate,"To define structural measures to reach, within respect of social justice, a 40% reduction of greenhouse gases in 2030 regarding 1990's levels.

Process took place from 2019-2020.","Yes, a Governance committee","Expert practitioners,Government representatives,Academics,NGO's","Design and facilitation,Oversight,Ensuring balanced information",https://www.conventioncitoyennepourleclimat.fr/,2020,France,Yes,National/Federal,France,Missions Publiques,https://missionspubliques.org/,Public independent institution,Environment,checked,1,150,Two-stage random selection (e.g. civic lottery),"More than 300,000 telephone numbers were drawn by Harris Interactive before being contacted. Approximately 255,000 people were contacted between late August and late September.

Overall, the approach was well received (see last section). The citizens who showed an interest in participating were then randomly selected to constitute a panel representative of the French population, according to criteria of gender, age, level of education, socio-professional and geographical situation, and type of territory (urban center, suburb, rural area...).",Phone,Minister,,2,5-6 weeks,Remunerated,"Public independant institution,Public Officials,Academics,Private Companies,Civil Society Organisations,Citizens",A hundred or so experts invited to provide input to citizens through hearings,checked,https://www.conventioncitoyennepourleclimat.fr/,"National and international media (print, online, radio and TV), institutional communication from the French Presidency.",No,,21,38,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions,Learning sessions,Reading material between meetings,Participants can request information","Call for submissions/proposals,Public hearings",Open call for submissions on the CCC' platform,"The CCC produced 149 propositions, and the President E. Macron adopted a large part of it, plus wants to have a constitutionnal revision to implement some of them.",,checked,"Implementation of most recommendations (over 50%),Specific response to participants about recommendations",,checked,"By the Association ""The 150"", created by the members of the CCC",checked,Academic analysis,,"15 people left the work for professional or personal reasons, and 25 substitute members were integrated.","High investment from all conveners, and impactful on public opinion/representatives if broadly publicized and initiated by a government willing to undertake concrete and full action on recommendations.",5431000,EUR,Budget of the CESE (independant and publicly-funded institution),Face-to-face,,46.59852928,1.883508776,"A college of guarantors was set up. The citizens were also assisted by some twenty people forming a ""support group"" and a ""legislative committee"" to help them in the development of their proposals and their regulatory transcription. The Governance Committee also called upon several research centers to form a team of resource persons, or fact checkers. All of them are academics and come from different disciplines in order to be able to answer all the questions of the members of the Convention. They are volunteers and are mobilized during the working sessions. 




The approach was well received by the people contacted for the draw: among the people who picked up the phone and were presented with the principle of the Convention, 30% agreed orally, 35% said they were interested in the principle but asked for more time to think about it and organize it, and 35% refused for various reasons, mainly because of the amount of time required for this operation.",https://propositions.conventioncitoyennepourleclimat.fr/pdf/ccc-rapport-final.pdf,
"Citizens' Group on New Generations Study for the French Economic, Social and Environmental Council",Citizens' Jury,Citizens' group,Ad hoc,,,New generation : build up tomorrow's solidarities,"Construct with the council proposals on tomorrow's solidarities : ""How can we ensure better social, material, living and professional conditions for everyone, at each stage of life?""",,,,https://www.lecese.fr/travaux-publies/generations-nouvelles-construire-les-solidarites-de-demain,2020,France,Yes,National/Federal,France,Missions publiques,https://missionspubliques.org/,Public independant institution (constitutionnaly consecrated),Other,,1,30,Random selection (stages unclear),"Criteria unclear, but recruited to be representative of the population.",,Other (please specify in participant selection methodology details),,,,Non-remunerated,Public Officials,,checked,"Unknown name or adress, helped during confinement",,No,,12,8,,Experts available at meetings for presentations and/or questions,,,28 co-constructed proposals with the temporary commission set-up by the CESE (made up of permanent members of the institution) .,,,,,,,,,,Lack of time to fully benefit from citizens' perspectives.,"Different organisations composing the french CESE (labour unions, representatives from different professional sectors) found the process of involving random citizens really interesting and productive.",,,CESE budget,Hybrid,Unknown,46.60668933,1.891668833,,https://www.lecese.fr/sites/default/files/pdf/Avis/2020/2020_15_generations_nouvelles.pdf,
Jurado Ciudadano de la Política Estatal Anticorrupción,Citizens' Jury,Jurado ciudadano,Ad hoc,,,Jurado Ciudadano de la Política Estatal Anticorrupción,"The group of citizens comprising the Citizens' Jury will help in diagnosing the public problem of corruption, along with deliberate about the solutions and proposals that are to become the state anticorruption policy. The policy will then be up for approval by the Coordinating Committee of the State Anticorruption System at the end of 2020. ",experts group and observatory ,"Academics,NGO's,Expert practitioners","Providing expert knowledge,Oversight",,2020,Mexico,Yes,Regional/State,"Chihuahua, México",Secretaria Ejecutiva del Sistema Estatal Anticorrupción de Chihuahua ,secretaria.anticorrupcion.org,governamental,Other,,4,40,Two-stage random selection (e.g. civic lottery),"Invitation sent to 10,000 randomly selected Chihuahua households. Stratified selection done among those interested will be done publicly with the help of open source random selection software.",Post,,,2,,Remunerated,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,Online,Zoom,19.3274788,-98.9711503,"Remuneration for participants was 3,000 MXN (145 USD).",https://secretaria.anticorrupcion.org/wp-content/uploads/2021/02/REGLAS-DE-OPERACI%C3%93N-JURADO-CIUDADANO_compressed.pdf,
